2024-07-05 20:26:24 INFO  TestBase:96 - Found an element:By.xpath: //button[@type='submit']
2024-07-05 20:26:33 INFO  TestBase:90 - Finding an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 20:26:33 INFO  TestBase:96 - Found an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 20:26:33 INFO  TestBase:102 - Clicking on element:button
2024-07-05 20:26:38 INFO  TestBase:90 - Finding an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 20:26:38 INFO  TestBase:96 - Found an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 20:26:45 INFO  TestBase:90 - Finding an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:26:45 INFO  TestBase:96 - Found an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:26:45 INFO  TestBase:102 - Clicking on element:div
2024-07-05 20:26:59 INFO  TestBase:90 - Finding an element:By.xpath: //div[text()='CAN - Personal']
2024-07-05 20:28:48 INFO  TestBase:42 - navigating to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 20:28:48 INFO  TestBase:48 - navigated to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 20:28:48 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='username']
2024-07-05 20:28:50 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='username']
2024-07-05 20:28:50 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='password']
2024-07-05 20:28:50 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='password']
2024-07-05 20:28:51 INFO  TestBase:90 - Finding an element:By.xpath: //button[@type='submit']
2024-07-05 20:28:51 INFO  TestBase:96 - Found an element:By.xpath: //button[@type='submit']
2024-07-05 20:28:55 INFO  TestBase:90 - Finding an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 20:28:55 INFO  TestBase:96 - Found an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 20:28:55 INFO  TestBase:102 - Clicking on element:button
2024-07-05 20:28:59 INFO  TestBase:90 - Finding an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 20:28:59 INFO  TestBase:96 - Found an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 20:29:02 INFO  TestBase:90 - Finding an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:29:02 INFO  TestBase:96 - Found an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:29:02 INFO  TestBase:102 - Clicking on element:div
2024-07-05 20:29:10 INFO  TestBase:90 - Finding an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:29:10 INFO  TestBase:96 - Found an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:32:41 INFO  TestBase:42 - navigating to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 20:32:43 INFO  TestBase:48 - navigated to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 20:32:43 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='username']
2024-07-05 20:32:43 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='username']
